Mutual Exclusion a Hypercube,1993,"Ajay Gupta,Steven C. Bruell,Sukumar Ghosh",J. Parallel Distrib. Comput.,988870
Efficient Design Boltzmann Machines,1990,"Ajay Gupta,Wolfgang Maass",NIPS,515636
Detection Masquerade Attacks Wireless Sensor Networks,2007,"Vijay Bhuse,Ajay Gupta,Ala I. Al-Fuqaha",ICC,277587
Management Conflicting Obligations Self-Protecting Policy-Based Systems,2005,"Rema Ananthanarayanan,Mukesh K. Mohania,Ajay Gupta",ICAC,264268
Power Consumption Analysis Maximum A Posterior Classifier Using LU Decomposition Jacobi Iterations,2008,"Zill-E-Huma Kamal,Ajay Gupta,Ashfaq A. Khokhar,Leszek Lilien",IEEE Trans. Parallel Distrib. Syst.,1126381
Mobility-Pattern-Based Anomaly Detection Algorithm Mobile Networks,2008,"Chaoli Cai,Ajay Gupta",ICC,276300
Towards Bringing Database Management Task Realm IT non-Experts,2003,"Ajay Gupta,Manish Bhide,Mukesh K. Mohania",ICDE,300057
Optimal Deployment Triggers Detecting Events,2004,"Manish Bhide,Ajay Gupta,Mukul Joshi,Mukesh K. Mohania",DEXA,149270
Clustering short texts wikipedia,2007,"Somnath Banerjee,Krishnan Ramanathan,Ajay Gupta",SIGIR,596099
Explanation-based Failure Recovery,1987,Ajay Gupta,AAAI,13048
Enabling analysts managed services CRM analytics,2009,"Indrajit Bhattacharya,Shantanu Godbole,Ajay Gupta,Ashish Verma,Jeff Achtermann,Kevin English",KDD,1212517
Simulation Detection Self-Propagating Worms Viruses,2008,Ajay Gupta,U,1393934
Dynamic Access Control Framework Based On Events,2003,"Manish Bhide,Sandeep Pandey,Ajay Gupta,Mukesh K. Mohania",ICDE,299548
On complexity computation learning neural networks,1991,Ajay Gupta,U,1678096
LIPTUS: associating structured unstructured information a banking environment,2007,"Manish Bhide,Ajay Gupta,Rahul Gupta,Prasan Roy,Mukesh K. Mohania,Zenita Ichhaporia",SIGMOD Conference,600181
Largeandmdash;scale parallel numerical integration,1999,"Elise de Doncker,Ajay Gupta,Rodger R. Zanny",Journal of Computational and Applied Mathematics,1549674
Document Summarization Wikipedia,2009,"Krishnan Ramanathan,Yogesh Sankarasubramaniam,Nidhi Mathur,Ajay Gupta",Online Information Review,1265282
Performance Indicators a 802.11 WLAN Deployment.,2009,"Ajay Gupta,Prabhash Dhyani",U,1316053
IT Infrastructure Emerging Markets: Arguing End-to-End Perspective,2006,"Ajay Gupta,Parthasarathy Ranganathan,Prashant Sarin,Mehul A. Shah",IEEE Pervasive Computing,1179332
Synchronization distributed systems,1989,Ajay Gupta,U,1490190
AGATHA: An Integrated Expert System Test Diagnose Complex Personal Computer Boards,1991,"Daryl Allred,Yossi Lichtenstein,Chris Preist,Michael A. Bennett,Ajay Gupta",IAAI,258611
Towards Automated Privacy Compliance Information Life Cycle,2008,"Rema Ananthanarayanan,Ajay Gupta,Mukesh Mohania","Advances in Web Semantics I: Ontologies, Web Services and Applied Semantic Web",1384744
A method efficient design Boltzmann machines classification problems,1990,"Ajay Gupta,Wolfgang Maass",Proceedings of the 1990 conference on Advances in neural information processing systems 3,1671104
Hack I.T.: security through penetration testing,2002,"T. J. Klevinsky,Scott Laliberte,Ajay Gupta",U,1739014
Using Lagrangean Relaxation Service Location Planning QoS Constraints Large-Scale Networks,2008,"Zill-E-Huma Kamal,Ala I. Al-Fuqaha,Ajay Gupta",ICC,275987
Enhanced Business Intelligence EROCS,2008,"Manish Bhide,V. Chakravarthy,Ajay Gupta,Himanshu Gupta,Mukesh K. Mohania,Kriti Puniyani,Prasan Roy,Sourashis Roy,Vibhuti S. Sengar",ICDE,302056
Policy Framework Autonomic Data Managemen,2004,"Manish Bhide,Ajay Gupta,Mukul Joshi,Mukesh K. Mohania,Shree Raman",ICAC,264291
Retaining personal expression social search,2009,"Praphul Chandra,Ajay Gupta",WWW,675629
